crime_rate,crowd_density,time_of_day,weather_condition,longitude,latitude,location_type,city,place
1326,294,morning,Sunny,68.491,35.3212,Suburban,Hyderabad,Connaught Place
1101,446,morning,Cloudy,77.3051,35.2956,Suburban,Hyderabad,Park Street
892,252,night,Clear,89.4331,17.4893,Suburban,Chennai,Park Street
1750,250,afternoon,Foggy,68.5905,21.3397,Suburban,Ahmedabad,Connaught Place
204,85,afternoon,Cloudy,89.6499,19.2986,Urban,Pune,Juhu Beach
1906,215,morning,Clear,91.1745,20.6892,Suburban,Mumbai,Park Street
1760,50,afternoon,Clear,86.9592,35.1369,Urban,Mumbai,Juhu Beach
499,353,afternoon,Rainy,82.3131,25.4671,Urban,Chennai,Park Street
1779,366,morning,Rainy,72.7431,36.2308,Suburban,Delhi,Marine Drive
364,32,afternoon,Sunny,69.3777,29.7491,Suburban,Chennai,Connaught Place
282,65,morning,Foggy,90.1878,35.9453,Suburban,Chennai,MG Road
1313,458,night,Sunny,82.8418,10.0764,Suburban,Mumbai,Juhu Beach
1062,174,afternoon,Clear,70.8886,14.1662,Rural,Mumbai,Charminar
153,230,evening,Clear,82.4671,29.9208,Urban,Hyderabad,Connaught Place
360,404,afternoon,Clear,80.8474,16.2356,Urban,Bengaluru,Park Street
1723,490,night,Cloudy,80.8881,26.7529,Urban,Hyderabad,Marine Drive
138,194,evening,Foggy,68.0803,32.6716,Urban,Pune,MG Road
1082,461,afternoon,Sunny,76.6339,21.011,Rural,Chennai,Park Street
855,172,evening,Clear,90.4062,28.5481,Suburban,Chennai,Park Street
1195,314,afternoon,Cloudy,92.5955,28.9475,Suburban,Hyderabad,MG Road
1520,474,afternoon,Cloudy,76.1645,28.2276,Rural,Hyderabad,Park Street
721,331,evening,Cloudy,69.0851,14.3821,Rural,Bengaluru,Connaught Place
32,268,evening,Foggy,91.693,20.1036,Urban,Mumbai,Park Street
41,485,night,Cloudy,85.313,23.9445,Rural,Bengaluru,MG Road
25,339,morning,Sunny,71.7596,11.0165,Suburban,Kolkata,Charminar
808,151,afternoon,Cloudy,95.7413,32.4509,Suburban,Kolkata,Juhu Beach
1258,145,afternoon,Foggy,83.3431,29.5312,Rural,Ahmedabad,Park Street
1898,121,morning,Clear,75.3369,29.7048,Urban,Kolkata,MG Road
1782,213,afternoon,Sunny,73.2341,21.8687,Rural,Pune,Connaught Place
507,479,morning,Sunny,96.7414,26.9437,Urban,Ahmedabad,Marine Drive
