crime_rate,crowd_density,time_of_day,weather_condition_encoded,longitude,location_type,city_encoded,place_encoded,safety_score
1326,294,morning,4,68.491,Suburban,4,1,4.66145
1101,446,morning,1,77.3051,Suburban,4,5,4.141745000000002
892,252,night,0,89.4331,Suburban,2,5,4.132345000000001
1750,250,afternoon,2,68.5905,Suburban,0,1,4.320475
204,85,afternoon,1,89.6499,Urban,7,2,5.143504999999999
1906,215,morning,0,91.1745,Suburban,6,5,3.105275
1760,50,afternoon,0,86.9592,Urban,6,2,3.792040000000001
499,353,afternoon,3,82.3131,Urban,2,5,4.679345
1779,366,morning,3,72.7431,Suburban,3,4,3.851845
364,32,afternoon,4,69.3777,Suburban,2,1,6.103114999999999
282,65,morning,2,90.1878,Suburban,2,3,5.078609999999999
1313,458,night,4,82.8418,Suburban,6,2,3.6289099999999985
1062,174,afternoon,0,70.8886,Rural,6,0,5.04557
153,230,evening,0,82.4671,Urban,4,1,5.263644999999999
360,404,afternoon,0,80.8474,Urban,1,5,4.789630000000001
1723,490,night,1,80.8881,Urban,4,4,3.2525949999999986
138,194,evening,2,68.0803,Urban,7,3,6.069985000000001
1082,461,afternoon,4,76.6339,Rural,2,5,4.164305
855,172,evening,0,90.4062,Suburban,2,5,4.28069
1195,314,afternoon,1,92.5955,Suburban,4,3,3.547224999999999
1520,474,afternoon,1,76.1645,Rural,4,5,3.723775
721,331,evening,1,69.0851,Rural,1,1,5.162744999999999
32,268,evening,2,91.693,Urban,6,5,4.8473500000000005
41,485,night,1,85.313,Rural,1,3,4.723349999999999
25,339,morning,4,71.7596,Suburban,5,0,5.709019999999999
808,151,afternoon,1,95.7413,Suburban,5,2,4.102935
1258,145,afternoon,2,83.3431,Rural,0,5,4.284845000000002
1898,121,morning,0,75.3369,Urban,5,3,4.093155
1782,213,afternoon,4,73.2341,Rural,7,1,4.130295
507,479,morning,4,96.7414,Urban,0,4,3.6979299999999995
24,397,night,4,84.096,Urban,1,4,4.9772
1046,214,afternoon,0,79.0235,Rural,4,2,4.574825
1147,85,morning,4,88.1332,Rural,7,4,4.276339999999999
556,312,night,0,79.4607,Rural,3,0,4.846964999999998
1256,112,morning,1,93.5813,Urban,1,1,3.840934999999999
650,472,night,2,71.4312,Suburban,1,0,4.834439999999999
29,50,evening,0,88.5354,Urban,4,2,5.44423
1322,421,afternoon,1,89.1211,Suburban,0,3,3.379945000000001
1916,266,evening,3,71.1543,Urban,4,2,3.994284999999999
1298,254,afternoon,2,69.1884,Urban,5,1,4.734579999999999
825,491,afternoon,4,93.4779,Urban,0,1,3.5191050000000006
734,410,afternoon,0,96.3668,Urban,0,4,3.6276599999999997
1179,97,afternoon,3,84.8834,Suburban,7,2,4.382829999999999
507,210,evening,3,69.8358,Suburban,5,3,5.5812100000000004
191,290,evening,0,87.7879,Urban,7,1,4.839605
1286,341,evening,4,87.9771,Rural,0,2,3.633145
1288,118,afternoon,3,81.247,Suburban,4,2,4.413649999999999
1546,149,morning,3,68.729,Rural,5,1,4.71955
452,387,night,3,78.0507,Rural,5,2,4.871465000000001
1271,150,evening,1,72.9433,Urban,5,5,4.781834999999999
267,31,night,2,86.8183,Urban,1,2,5.330085000000001
613,312,morning,0,89.4617,Suburban,7,3,4.289915
418,90,morning,2,79.9877,Urban,5,0,5.402615000000001
1864,456,evening,1,94.9251,Suburban,4,5,2.4777449999999988
38,116,night,4,93.7113,Rural,2,3,5.044435000000001
583,144,night,1,81.6071,Urban,4,5,5.048645
1626,255,morning,0,73.1855,Suburban,6,2,4.204725
1562,221,evening,1,74.449,Rural,4,5,4.27355
739,386,night,4,78.5027,Urban,4,2,4.563864999999998
903,86,night,2,74.7417,Urban,3,0,5.1879149999999985
703,228,morning,4,85.3819,Suburban,3,3,4.571905000000001
1624,8,night,1,96.9533,Urban,4,1,3.5123349999999993
1773,291,evening,1,88.2669,Urban,3,0,3.231655
