crime_rate,crowd_density,time_of_day,weather_condition_encoded,longitude,location_type,city_encoded,place_encoded,safety_score
8.63,2.86,10,2,77.4622,0,4,18,3.19
9.9,9.48,0,0,77.2218,2,1,17,0.27
3.77,9.95,23,1,77.479,2,5,20,3.09
3.43,8.98,3,0,77.3259,2,6,2,2.52
3.62,4.11,10,1,77.0977,0,0,2,8.33
4.11,6.51,19,0,77.7045,2,0,14,7.15
7.62,1.87,8,0,77.2988,1,4,10,2.3
0.47,1.98,19,0,77.7788,1,10,16,6.1
5.6,7.89,2,1,77.3799,2,5,11,3.26
3.62,0.19,1,0,77.3064,1,7,13,1.36
1.83,5.18,5,0,77.7653,2,8,5,6.44
4.81,4.31,13,2,77.6961,1,5,15,9.72
4.4,0.66,17,1,77.2754,1,4,10,6.0
1.67,2.57,0,0,77.543,1,0,11,3.75
7.18,8.58,3,1,77.6436,0,1,16,2.28
2.6,9.78,8,0,77.1142,1,1,15,5.91
5.93,5.17,15,0,77.9489,2,5,16,8.39
0.38,2.15,5,2,77.6015,1,3,8,5.5
8.01,7.57,11,1,77.3113,2,6,14,5.17
0.72,3.46,20,1,77.9181,0,6,10,7.65
9.9,1.45,6,2,77.9325,1,0,2,4.12
9.09,7.33,0,2,77.8328,0,6,8,1.37
5.1,7.1,3,1,77.3909,1,1,3,2.18
0.56,8.21,5,0,77.9178,0,3,12,4.12
8.89,5.2,9,0,77.6235,1,3,15,5.08
7.61,0.53,1,1,77.0643,2,4,6,0.37
5.53,3.58,3,0,77.0314,0,5,5,4.68
7.19,1.81,13,1,77.5374,1,1,2,5.46
0.65,5.85,11,0,77.508,1,6,9,8.78
2.89,2.24,4,1,77.9214,1,5,12,3.8
8.58,7.62,13,0,77.3889,1,9,6,4.59
6.32,4.7,6,0,77.1431,1,3,18,7.38
9.2,7.5,1,1,77.4386,1,4,8,0.06
9.57,1.86,23,0,77.5916,2,8,11,0.15
8.11,6.27,5,1,77.9209,2,8,17,2.98
0.23,1.44,5,2,77.3549,1,9,12,5.54
8.18,5.59,4,0,77.4844,0,1,19,2.26
1.97,5.82,18,2,77.3429,1,2,18,10.0
8.91,9.68,11,0,77.61,1,9,12,2.84
8.56,9.52,14,1,77.8591,0,0,20,5.42
1.24,6.96,16,0,77.781,0,8,0,10.0
